Contract Name,Type,Sale Date,Transaction Date,Source,Sub Source,Description,Territory,Barcode,Cat No,Release Title,Release Version,Release Artist,Release Label,PPD,ISRC,Track Title,Track Version,Track Artist,Track Label,Distribution Channel,Configuration,Price Category,Units,Per Unit Rate,Gross Amount in Currency,Net Amount in Currency,Original Currency,Exchange Rate,Gross Amount,Net Amount,Calculation Type,Calculation Input,Participation Rate,Pro Rata,Mechanical Deduction Type,Mechanical Deduction Rate,Mechanical Deduction,Deduction Unit Rate,Deduction Rate,Deduction,Royalty Rate,Unit Rate,Multiplier,Reduction Rate,Net Payable,Reserve Rate,Reserve,Specific Withholding Tax Rate,Specific Withholding Tax,Currency
UniFLOWs Label,Track,2026-06-01,2026-08-01,YouTube,,,VN,859709688718,859709688718,mùa hạ 2019,,Khờ Band,UniFLOWs Label,0,TCAJT2506106,mùa hạ 2019,,Khờ Band,UniFLOWs Label,Digital,Promotion Stream,,5,0.548341911,0.0001071,0.000105494,USD,25989.000000000004,2.7834219,2.7416835660000003,Net Receipts,2.7416835660000003,100,2.7416835660000003,,100,0,,2.6,0.071283772716,70,,1,,1.8692798552988001,0,0,,0,VND
UniFLOWs Label,Track,2026-06-01,2026-08-01,YouTube Red,,,VN,859709688718,859709688718,mùa hạ 2019,,Khờ Band,UniFLOWs Label,0,TCAJT2506106,mùa hạ 2019,,Khờ Band,UniFLOWs Label,Digital,Family Promotion Stream,,14,36.5770057,0.020006776594,0.019706675,USD,25985,519.87608979509,512.077949875,Net Receipts,512.077949875,100,512.077949875,,100,0,,2.6,13.314026696750002,70,,1,,349.13474622477503,0,0,,0,VND
UniFLOWs Label,Track,2026-06-03,2026-08-01,YouTube,,,VN,859705812803,859705812803,khoảng trống (unplugged),,Khờ Band,UniFLOWs Label,0,TCAJQ2502820,khoảng trống (unplugged),,Khờ Band,UniFLOWs Label,Digital,Promotion Stream,,42,1.342357839,0.002202375,0.002169339,USD,25989,57.237523875,56.378951271000005,Net Receipts,56.378951271000005,100,56.378951271000005,,100,0,,2.6,1.465852733046,70,,1,,38.43916897656781,0,0,,0,VND
UniFLOWs Label,Track,2026-06-26,2026-08-01,YouTube,,,VN,859709688718,859709688718,mùa hạ 2019,,Khờ Band,UniFLOWs Label,0,TCAJT2506106,mùa hạ 2019,,Khờ Band,UniFLOWs Label,Digital,Promotion Stream,,6,0,0,0,USD,,0,0,Net Receipts,0,100,0,,100,0,,2.6,0,70,,1,,0,0,0,,0,VND
UniFLOWs Label,Track,2026-06-18,2026-08-01,YouTube,,,VN,859709688718,859709688718,mùa hạ 2019,,Khờ Band,UniFLOWs Label,0,TCAJT2506106,mùa hạ 2019,,Khờ Band,UniFLOWs Label,Digital,Promotion Stream,,6,0,0,0,USD,,0,0,Net Receipts,0,100,0,,100,0,,2.6,0,70,,1,,0,0,0,,0,VND
UniFLOWs Label,Track,2026-06-17,2026-08-01,YouTube,,,VN,859709688718,859709688718,mùa hạ 2019,,Khờ Band,UniFLOWs Label,0,TCAJT2506106,mùa hạ 2019,,Khờ Band,UniFLOWs Label,Digital,Promotion Stream,,3,0,0,0,USD,,0,0,Net Receipts,0,100,0,,100,0,,2.6,0,70,,1,,0,0,0,,0,VND
UniFLOWs Label,Track,2026-06-11,2026-08-01,YouTube,,,VN,859709688718,859709688718,mùa hạ 2019,,Khờ Band,UniFLOWs Label,0,TCAJT2506106,mùa hạ 2019,,Khờ Band,UniFLOWs Label,Digital,Promotion Stream,,3,0,0,0,USD,,0,0,Net Receipts,0,100,0,,100,0,,2.6,0,70,,1,,0,0,0,,0,VND
UniFLOWs Label,Track,2026-06-23,2026-08-01,YouTube,,,VN,859709688718,859709688718,mùa hạ 2019,,Khờ Band,UniFLOWs Label,0,TCAJT2506106,mùa hạ 2019,,Khờ Band,UniFLOWs Label,Digital,Promotion Stream,,10,0,0,0,USD,,0,0,Net Receipts,0,100,0,,100,0,,2.6,0,70,,1,,0,0,0,,0,VND
UniFLOWs Label,Track,2026-05-31,2026-08-01,Spotify,,,VN,859709688718,859709688718,mùa hạ 2019,,Khờ Band,UniFLOWs Label,0,TCAJT2506106,mùa hạ 2019,,Khờ Band,UniFLOWs Label,Digital,Stream,,20,10.31678059,0.00706335,0.0069574,EUR,29657.000000000004,209.47777095,206.3356118,Net Receipts,206.3356118,100,206.3356118,,100,0,,2.6,5.3647259068,70,,1,,140.67962012524,0,0,,0,VND
UniFLOWs Label,Track,2026-06-01,2026-08-01,YouTube Red,,,VN,859709688718,859709688718,mùa hạ 2019,,Khờ Band,UniFLOWs Label,0,TCAJT2506106,mùa hạ 2019,,Khờ Band,UniFLOWs Label,Digital,UGC Stream,,2,29.48564723,0.002303995104,0.002269435,USD,25985,59.86931277744,58.971268475,Net Receipts,58.971268475,100,58.97126847500001,,100,0,,2.6,1.5332529803500001,70,,1,,40.20661084625501,0,0,,0,VND
UniFLOWs Label,Track,2026-06-16,2026-08-01,YouTube,,,VN,016627813848,016627813848,"Đôi tay, bàn chân và những giấc mơ nhỏ",,Khờ Band,UniFLOWs Label,0,VNA1M2601128,"Đôi tay, bàn chân và những giấc mơ nhỏ",,Khờ Band,UniFLOWs Label,Digital,Promotion Stream,,3,0,0,0,USD,,0,0,Net Receipts,0,100,0,,100,0,,2.6,0,70,,1,,0,0,0,,0,VND
UniFLOWs Label,Track,2026-06-06,2026-08-01,YouTube,,,VN,859705812803,859705812803,khoảng trống (unplugged),,Khờ Band,UniFLOWs Label,0,TCAJQ2502820,khoảng trống (unplugged),,Khờ Band,UniFLOWs Label,Digital,Promotion Stream,,1,0,0,0,USD,,0,0,Net Receipts,0,100,0,,100,0,,2.6,0,70,,1,,0,0,0,,0,VND
UniFLOWs Label,Track,2026-06-04,2026-08-01,YouTube,,,KR,859705812803,859705812803,khoảng trống (unplugged),,Khờ Band,UniFLOWs Label,0,TCAJQ2502820,khoảng trống (unplugged),,Khờ Band,UniFLOWs Label,Digital,Promotion Stream,,2,2.822301444,0.0002205,0.000217192,USD,25988.999999999996,5.7305744999999995,5.644602888,Net Receipts,5.644602888,100,5.644602888,,100,0,,2.6,0.146759675088,70,,1,,3.8484902490383996,0,0,,0,VND
UniFLOWs Label,Track,2026-06-01,2026-08-01,YouTube Red,,,US,859705812803,859705812803,khoảng trống (unplugged),,Khờ Band,UniFLOWs Label,0,TCAJQ2502820,khoảng trống (unplugged),,Khờ Band,UniFLOWs Label,Digital,Family Promotion Stream,,2,188.39985103499998,0.014721483734,0.014500661,USD,25985,382.53775482799,376.799676085,Net Receipts,376.799676085,100,376.79967608499993,,100,0,,2.6,9.79679157821,70,,1,,256.90201915475296,0,0,,0,VND
UniFLOWs Label,Track,2026-06-07,2026-08-01,YouTube,,,VN,859709688718,859709688718,mùa hạ 2019,,Khờ Band,UniFLOWs Label,0,TCAJT2506106,mùa hạ 2019,,Khờ Band,UniFLOWs Label,Digital,Promotion Stream,,4,0,0,0,USD,,0,0,Net Receipts,0,100,0,,100,0,,2.6,0,70,,1,,0,0,0,,0,VND
UniFLOWs Label,Track,2026-06-14,2026-08-01,YouTube,,,VN,859709688718,859709688718,mùa hạ 2019,,Khờ Band,UniFLOWs Label,0,TCAJT2506106,mùa hạ 2019,,Khờ Band,UniFLOWs Label,Digital,Promotion Stream,,1,0,0,0,USD,,0,0,Net Receipts,0,100,0,,100,0,,2.6,0,70,,1,,0,0,0,,0,VND
UniFLOWs Label,Track,2026-06-24,2026-08-01,YouTube,,,VN,859709688718,859709688718,mùa hạ 2019,,Khờ Band,UniFLOWs Label,0,TCAJT2506106,mùa hạ 2019,,Khờ Band,UniFLOWs Label,Digital,Promotion Stream,,5,0,0,0,USD,,0,0,Net Receipts,0,100,0,,100,0,,2.6,0,70,,1,,0,0,0,,0,VND
UniFLOWs Label,Track,2026-05-31,2026-08-01,Meta,,,VN,859709688718,859709688718,mùa hạ 2019,,Khờ Band,UniFLOWs Label,0,TCAJT2506106,mùa hạ 2019,,Khờ Band,UniFLOWs Label,Digital,IG_MUSIC_NOTES,,18,0.028977734999999998,0.00002037726527908656,0.000020072,USD,25989,0.5295847473381806,0.521651208,Net Receipts,0.521651208,100,0.521651208,,100,0,,2.6,0.013562931408,70,,1,,0.3556617936144,0,0,,0,VND
UniFLOWs Label,Track,2026-06-01,2026-08-01,YouTube Red,,,VN,859709688718,859709688718,mùa hạ 2019,,Khờ Band,UniFLOWs Label,0,TCAJT2506106,mùa hạ 2019,,Khờ Band,UniFLOWs Label,Digital,Premium UGC Stream,,5,100.78895496,0.019689015625,0.01939368,USD,25985,511.619071015625,503.9447748,Net Receipts,503.9447748,100,503.9447748,,100,0,,2.6,13.1025641448,70,,1,,343.58954745864,0,0,,0,VND
UniFLOWs Label,Track,2026-06-01,2026-08-01,YouTube Red,,,KR,859705812803,859705812803,khoảng trống (unplugged),,Khờ Band,UniFLOWs Label,0,TCAJQ2502820,khoảng trống (unplugged),,Khờ Band,UniFLOWs Label,Digital,Premium Stream,,1,187.014954475,0.007306634536,0.007197035,USD,25985,189.86289841796,187.014954475,Net Receipts,187.014954475,100,187.01495447500002,,100,0,,2.6,4.86238881635,70,,1,,127.50679596105502,0,0,,0,VND
UniFLOWs Label,Track,2026-05-31,2026-08-01,TikTok,TikTok,,VN,859709688718,859709688718,mùa hạ 2019,,Khờ Band,UniFLOWs Label,0,TCAJT2506106,mùa hạ 2019,,Khờ Band,UniFLOWs Label,Digital,PGC,,7,0,0.0000069355,0.000006242,USD,25989,0.1802467095,0.162223338,Net Receipts,0.162223338,100,0.16222333800000002,,100,0,,2.6,0.004217806788,70,,1,,0.11060387184840001,0,0,,0,VND
UniFLOWs Label,Track,2026-06-20,2026-08-01,YouTube,,,VN,859709688718,859709688718,mùa hạ 2019,,Khờ Band,UniFLOWs Label,0,TCAJT2506106,mùa hạ 2019,,Khờ Band,UniFLOWs Label,Digital,Promotion Stream,,6,0,0,0,USD,,0,0,Net Receipts,0,100,0,,100,0,,2.6,0,70,,1,,0,0,0,,0,VND
UniFLOWs Label,Track,2026-06-29,2026-08-01,YouTube,,,VN,859709688718,859709688718,mùa hạ 2019,,Khờ Band,UniFLOWs Label,0,TCAJT2506106,mùa hạ 2019,,Khờ Band,UniFLOWs Label,Digital,Promotion Stream,,2,0,0,0,USD,,0,0,Net Receipts,0,100,0,,100,0,,2.6,0,70,,1,,0,0,0,,0,VND
